ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,EDM1,EDM2,EDM3,EDM4,EDM5
1,22.0,1,0.3,0.3,5,3,1,0,0,1,1,0,1,1,0,1,0,0,0,0
2,22.0,1,0.3,0.3,5,5,1,0,0,0,0,1,1,1,0,1,0,0,0,0
3,40.0,4,0.3,2.75,3,10,0,0,1,0,1,0,0,1,0,0,0,0,1,0
4,30.0,4,0.75,2.25,10,20,0,0,1,0,1,0,0,1,0,0,0,0,1,0
5,22.0,1,0.3,0.75,1,5,1,0,0,1,1,0,1,1,0,0,1,0,0,0
6,22.0,4,0.3,0.3,5,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
7,30.0,1,1.75,0.75,5,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0
8,30.0,4,1.25,5.0,10,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
9,22.0,4,0.3,0.3,5,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0
10,22.0,4,3.75,0.3,15,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
11,22.0,1,2.75,0.75,10,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0
12,22.0,4,0.3,0.3,5,5,0,0,1,1,1,1,1,1,0,1,0,0,0,0
13,54.0,1,0.3,2.25,5,10,1,0,0,0,0,1,0,1,0,0,0,0,1,0
14,22.0,4,2.75,0.75,10,5,0,0,1,1,1,0,0,1,0,0,1,0,0,0
15,30.0,4,0.75,0.75,5,10,0,0,1,0,1,1,0,1,0,0,1,0,0,0
16,30.0,2,0.3,5.0,5,40,0,1,0,0,1,1,1,1,0,0,0,0,0,1
17,30.0,4,0.3,0.3,2,2,0,0,1,0,1,0,1,1,0,1,0,0,0,0
18,22.0,1,2.25,0.75,30,10,1,0,0,1,1,0,1,1,0,0,1,0,0,0
19,30.0,1,2.25,1.25,5,10,1,0,0,1,1,1,1,1,0,0,0,1,0,0
20,30.0,1,0.3,0.3,3,5,1,0,0,1,1,1,1,1,0,1,0,0,0,0
21,22.0,4,0.3,0.75,3,10,0,0,1,1,1,0,1,1,0,0,1,0,0,0
22,22.0,1,0.75,1.25,10,10,1,0,0,1,1,0,1,1,0,0,0,1,0,0
23,22.0,4,0.75,0.3,8,4,0,0,1,0,0,1,0,1,0,1,0,0,0,0
24,22.0,2,0.3,3.75,5,25,0,1,0,0,0,0,1,1,0,0,0,0,1,0
25,30.0,4,0.3,5.0,2,25,0,0,1,1,1,1,1,1,0,0,0,0,0,1
26,40.0,4,0.3,1.75,2,10,0,0,1,0,0,0,1,1,0,0,0,1,0,0
27,22.0,4,1.75,0.3,10,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
28,22.0,4,0.75,0.75,10,10,0,0,1,0,1,1,0,1,0,0,1,0,0,0
29,54.0,1,0.3,3.25,5,10,1,0,0,1,1,0,1,1,0,0,0,0,1,0
30,22.0,2,0.3,2.25,2,5,0,1,0,1,1,0,0,1,0,0,0,0,1,0
31,22.0,1,5.0,0.3,60,5,1,0,0,0,1,1,1,1,0,1,0,0,0,0
32,22.0,1,0.75,0.3,10,5,1,0,0,1,1,0,1,1,0,1,0,0,0,0
33,22.0,1,0.75,1.25,10,8,1,0,0,1,1,1,1,1,0,0,0,1,0,0
34,40.0,4,2.25,0.3,15,10,0,0,1,0,0,1,0,1,0,1,0,0,0,0
35,22.0,4,5.0,5.0,20,25,0,0,1,0,1,0,1,1,0,0,0,0,0,1
36,22.0,4,0.3,2.75,10,15,0,0,1,1,1,0,1,1,0,0,0,0,1,0
37,22.0,1,0.75,0.75,10,10,1,0,0,0,1,0,1,1,0,0,1,0,0,0
38,22.0,4,0.3,0.75,5,10,0,0,1,0,1,0,1,1,0,0,1,0,0,0
39,22.0,4,0.3,0.3,5,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0
40,22.0,4,3.75,3.25,15,15,0,0,1,0,1,0,1,1,0,0,0,0,1,0
41,22.0,4,0.75,2.25,8,20,0,0,1,0,1,1,0,1,0,0,0,0,1,0
42,22.0,4,0.75,1.75,10,5,0,0,1,0,1,1,0,1,0,0,0,1,0,0
43,30.0,4,0.3,0.75,2,5,0,0,1,1,1,1,1,1,0,0,1,0,0,0
44,30.0,4,0.3,0.3,5,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
45,22.0,2,0.75,0.3,5,5,0,1,0,0,1,0,0,1,0,1,0,0,0,0
46,22.0,4,4.25,1.75,15,15,0,0,1,0,1,0,1,1,0,0,0,1,0,0
47,22.0,1,0.75,0.3,10,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0
48,40.0,4,0.3,0.3,5,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0
49,30.0,2,0.3,0.3,2,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0
50,30.0,4,0.3,0.75,5,10,0,0,1,0,0,1,1,1,0,0,1,0,0,0
51,30.0,1,3.25,2.25,10,10,1,0,0,0,0,1,1,1,0,0,0,0,1,0
52,22.0,2,0.3,0.3,3,5,0,1,0,1,1,0,0,1,0,1,0,0,0,0
53,22.0,4,0.75,1.75,7,17,0,0,1,0,1,0,0,1,0,0,0,1,0,0
54,22.0,1,1.25,0.75,20,10,1,0,0,0,1,1,1,1,0,0,1,0,0,0
55,22.0,4,0.3,0.3,7,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0
56,22.0,2,0.3,0.75,5,10,0,1,0,0,1,1,1,1,0,0,1,0,0,0
57,22.0,4,2.25,0.3,10,17,0,0,1,1,1,0,0,1,0,1,0,0,0,0
58,30.0,4,3.75,0.75,10,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
59,22.0,1,0.3,0.3,4,4,1,0,0,0,1,0,1,1,0,1,0,0,0,0
60,40.0,1,1.25,0.75,15,5,1,0,0,0,1,1,1,1,0,0,1,0,0,0
61,30.0,1,0.75,2.25,10,30,1,0,0,0,1,1,1,1,0,0,0,0,1,0
62,22.0,4,1.75,2.25,6,15,0,0,1,0,0,1,1,1,0,0,0,0,1,0
63,30.0,1,0.75,0.75,10,8,1,0,0,0,1,1,1,1,0,0,1,0,0,0
64,30.0,1,0.3,3.75,5,15,1,0,0,0,1,1,1,1,0,0,0,0,1,0
65,30.0,1,0.3,2.75,2,15,1,0,0,0,1,1,1,1,0,0,0,0,1,0
66,54.0,1,0.3,0.3,5,5,1,0,0,1,1,0,1,1,0,1,0,0,0,0
67,22.0,4,0.3,0.3,2,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
68,54.0,4,2.25,0.75,7,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
69,22.0,2,0.3,1.25,5,15,0,1,0,1,1,0,0,1,0,0,0,1,0,0
70,22.0,2,0.3,0.75,3,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0
71,22.0,4,0.3,0.75,5,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
72,22.0,4,0.3,1.25,5,15,0,0,1,0,1,0,0,1,0,0,0,1,0,0
73,30.0,4,1.75,5.0,20,25,0,0,1,0,1,0,1,1,0,0,0,0,0,1
74,22.0,2,0.3,0.75,2,5,0,1,0,1,1,0,0,1,0,0,1,0,0,0
75,22.0,1,0.3,3.25,2,20,1,0,0,0,1,0,0,1,0,0,0,0,1,0
76,22.0,2,0.3,1.25,5,10,0,1,0,1,1,0,0,1,0,0,0,1,0,0
77,22.0,4,3.75,0.3,15,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0
78,22.0,2,3.25,0.75,5,7,0,1,0,1,1,0,0,1,0,0,1,0,0,0
79,40.0,4,2.25,1.75,10,30,0,0,1,0,1,1,1,1,0,0,0,1,0,0
80,22.0,2,2.25,0.75,5,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0
81,22.0,4,0.3,3.75,5,10,0,0,1,1,1,0,1,1,0,0,0,0,1,0
82,30.0,1,5.0,0.3,45,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0
83,22.0,1,5.0,0.75,15,10,1,0,0,1,1,0,1,1,0,0,1,0,0,0
84,22.0,1,0.3,0.3,5,5,1,0,0,0,1,0,1,1,0,1,0,0,0,0
85,40.0,4,0.3,0.75,5,10,0,0,1,0,1,1,1,1,0,0,1,0,0,0
86,22.0,1,0.75,0.75,10,10,1,0,0,0,1,0,1,1,0,0,1,0,0,0
87,30.0,4,1.25,0.75,10,5,0,0,1,0,1,0,1,1,0,0,1,0,0,0
88,22.0,4,0.3,0.3,2,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0
89,22.0,4,0.75,0.3,10,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
90,54.0,4,5.0,5.0,70,20,0,0,1,1,1,1,1,1,0,0,0,0,0,1
91,22.0,4,0.3,0.3,2,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
92,22.0,1,0.75,2.25,15,30,1,0,0,1,0,1,1,1,0,0,0,0,1,0
93,22.0,4,5.0,0.3,120,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
94,30.0,1,0.3,5.0,10,20,1,0,0,0,1,1,1,1,0,0,0,0,0,1
95,40.0,4,0.75,0.3,10,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
96,30.0,4,0.3,0.75,2,10,0,0,1,0,1,0,1,1,0,0,1,0,0,0
97,22.0,1,0.3,0.3,5,5,1,0,0,0,0,0,1,1,0,1,0,0,0,0
98,22.0,4,0.75,0.3,10,2,0,0,1,0,1,0,1,1,0,1,0,0,0,0
99,22.0,1,2.75,0.75,20,5,1,0,0,1,1,0,0,1,0,0,1,0,0,0
100,22.0,4,1.75,0.3,10,7,0,0,1,0,1,0,1,1,0,1,0,0,0,0
101,40.0,1,5.0,0.75,40,2,1,0,0,1,1,1,1,1,0,0,1,0,0,0
102,22.0,4,1.25,1.25,20,10,0,0,1,0,1,1,1,1,0,0,0,1,0,0
103,22.0,4,0.75,0.75,10,10,0,0,1,0,1,0,1,1,0,0,1,0,0,0
104,22.0,4,2.75,0.3,15,2,0,0,1,0,1,0,1,1,0,1,0,0,0,0
105,30.0,4,0.3,0.3,5,8,0,0,1,0,0,0,0,1,0,1,0,0,0,0
106,40.0,4,1.25,0.3,10,10,0,0,1,0,1,0,1,1,0,1,0,0,0,0
107,30.0,1,0.75,2.75,10,20,1,0,0,0,1,0,0,1,0,0,0,0,1,0
108,30.0,4,0.75,0.3,5,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
109,22.0,4,5.0,1.75,15,10,0,0,1,0,1,0,0,1,0,0,0,1,0,0
110,22.0,4,0.75,0.3,5,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
111,22.0,4,5.0,5.0,40,20,0,0,1,0,1,0,1,1,0,0,0,0,0,1
112,22.0,1,0.75,0.75,15,10,1,0,0,0,1,1,0,1,0,0,1,0,0,0
113,30.0,4,0.75,0.75,15,10,0,0,1,0,0,1,1,1,0,0,1,0,0,0
114,40.0,4,1.25,0.3,15,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
115,22.0,4,2.25,1.25,10,10,0,0,1,0,1,0,1,1,0,0,0,1,0,0
116,22.0,4,0.3,0.3,5,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
117,30.0,4,0.3,0.3,3,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0
118,22.0,4,1.25,5.0,20,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
119,30.0,4,2.25,0.3,15,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0
120,30.0,4,3.25,0.3,15,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
121,54.0,4,3.25,1.25,15,15,0,0,1,0,1,0,0,1,0,0,0,1,0,0
122,30.0,4,5.0,4.25,20,10,0,0,1,0,1,0,0,1,0,0,0,0,0,1
123,30.0,4,0.3,0.3,10,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0
124,22.0,4,1.75,0.75,1,10,0,0,1,0,0,1,1,1,0,0,1,0,0,0
125,30.0,4,5.0,0.75,20,8,0,0,1,0,0,0,1,1,0,0,1,0,0,0
126,22.0,1,2.25,0.3,30,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0
127,22.0,4,0.75,0.75,15,7,0,0,1,0,1,0,0,1,0,0,1,0,0,0
128,22.0,4,1.75,0.3,5,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
129,40.0,1,5.0,4.75,20,15,1,0,0,0,1,1,1,1,0,0,0,0,0,1
130,22.0,4,3.25,0.3,15,5,0,0,1,0,0,1,0,1,0,1,0,0,0,0
131,22.0,4,0.75,0.3,10,7,0,0,1,1,1,0,0,1,0,1,0,0,0,0
132,22.0,2,0.75,0.75,10,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0
133,30.0,4,0.75,0.3,10,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0
134,22.0,4,0.3,0.3,2,10,0,0,1,1,0,1,0,1,0,1,0,0,0,0
135,30.0,4,0.75,0.75,6,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
136,22.0,4,1.75,0.3,5,2,0,0,1,0,1,0,1,1,0,1,0,0,0,0
137,22.0,2,0.3,5.0,5,30,0,1,0,0,0,0,0,1,0,0,0,0,0,1
138,40.0,4,0.75,0.75,7,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0
139,30.0,4,0.3,0.75,5,7,0,0,1,1,1,0,0,1,0,0,1,0,0,0
140,22.0,4,0.3,0.3,2,6,0,0,1,1,1,0,1,1,0,1,0,0,0,0
141,22.0,4,5.0,1.75,45,10,0,0,1,1,1,0,1,1,0,0,0,1,0,0
142,40.0,4,0.75,2.25,10,20,0,0,1,0,1,0,0,1,0,0,0,0,1,0
143,22.0,4,2.25,0.3,10,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0
144,22.0,4,4.25,1.25,10,5,0,0,1,1,1,0,0,1,0,0,0,1,0,0
145,22.0,4,0.3,0.75,5,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0
146,30.0,2,5.0,0.3,40,7,0,1,0,0,1,0,1,1,0,1,0,0,0,0
147,22.0,4,1.75,0.3,10,3,0,0,1,1,1,1,1,1,0,1,0,0,0,0
148,40.0,4,0.3,4.25,7,15,0,0,1,1,1,0,0,1,0,0,0,0,0,1
149,40.0,4,0.3,2.75,3,25,0,0,1,0,0,1,0,1,0,0,0,0,1,0
150,30.0,4,0.3,5.0,3,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
151,22.0,4,0.3,0.3,2,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0
152,22.0,2,0.3,1.25,7,15,0,1,0,0,1,0,0,1,0,0,0,1,0,0
153,22.0,4,0.3,0.3,2,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
154,30.0,2,1.75,1.25,5,15,0,1,0,1,1,1,0,1,0,0,0,1,0,0
155,30.0,4,3.75,5.0,15,60,0,0,1,0,1,0,0,1,0,0,0,0,0,1
156,22.0,4,0.75,5.0,10,25,0,0,1,0,1,0,0,1,0,0,0,0,0,1
157,22.0,4,2.25,1.75,15,15,0,0,1,0,1,0,1,1,0,0,0,1,0,0
158,22.0,1,3.25,2.25,15,10,1,0,0,1,1,0,1,1,0,0,0,0,1,0
159,22.0,4,0.75,0.3,15,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
160,22.0,4,0.3,0.3,6,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
161,22.0,4,3.75,0.3,30,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0
162,65.0,4,0.3,0.3,5,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0
163,40.0,4,1.75,0.75,10,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0
164,22.0,4,0.3,5.0,2,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
165,30.0,4,0.3,0.3,5,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
166,22.0,1,0.3,0.75,10,15,1,0,0,0,0,1,0,1,0,0,1,0,0,0
167,40.0,4,0.3,5.0,6,25,0,0,1,1,1,1,0,1,0,0,0,0,0,1
168,30.0,4,0.75,0.75,8,8,0,0,1,0,0,1,1,1,0,0,1,0,0,0
169,30.0,2,0.3,2.75,3,10,0,1,0,1,1,1,1,1,0,0,0,0,1,0
170,22.0,4,1.25,1.75,15,25,0,0,1,1,1,0,1,1,0,0,0,1,0,0
171,30.0,1,3.25,0.75,40,10,1,0,0,1,1,1,1,1,0,0,1,0,0,0
172,30.0,4,0.3,0.3,2,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
173,30.0,4,0.3,2.25,6,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0
174,54.0,4,0.3,5.0,15,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
175,22.0,4,0.3,3.75,2,30,0,0,1,0,0,0,1,1,0,0,0,0,1,0
176,22.0,1,0.3,0.3,5,10,1,0,0,1,1,0,1,1,0,1,0,0,0,0
177,22.0,2,0.3,0.3,5,5,0,1,0,0,1,0,1,1,0,1,0,0,0,0
178,30.0,4,1.25,0.75,15,5,0,0,1,0,0,1,1,1,0,0,1,0,0,0
179,30.0,2,5.0,1.25,30,15,0,1,0,1,1,1,1,1,0,0,0,1,0,0
180,30.0,4,0.75,5.0,10,30,0,0,1,0,1,1,0,1,0,0,0,0,0,1
181,22.0,4,0.3,2.75,5,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0
182,30.0,4,0.3,1.75,5,15,0,0,1,0,0,1,1,1,0,0,0,1,0,0
183,22.0,4,1.25,0.3,15,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0
184,22.0,4,0.3,0.3,2,6,0,0,1,1,1,0,0,1,0,1,0,0,0,0
185,22.0,4,0.75,0.75,10,10,0,0,1,0,0,1,1,1,0,0,1,0,0,0
186,30.0,4,0.3,5.0,5,20,0,0,1,0,0,0,1,1,0,0,0,0,0,1
187,22.0,4,0.3,0.75,10,15,0,0,1,0,1,0,0,1,0,0,1,0,0,0
188,30.0,4,2.25,5.0,15,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
189,22.0,2,0.3,0.3,5,2,0,1,0,0,1,0,1,1,0,1,0,0,0,0
190,22.0,2,0.3,5.0,2,30,0,1,0,1,1,0,1,1,0,0,0,0,0,1
191,40.0,4,0.75,5.0,15,20,0,0,1,0,1,0,0,1,0,0,0,0,0,1
192,22.0,4,0.3,1.25,5,15,0,0,1,0,0,0,1,1,0,0,0,1,0,0
193,54.0,4,0.3,0.75,10,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0
194,30.0,4,0.3,0.3,5,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
195,22.0,1,0.3,0.75,5,10,1,0,0,0,1,0,1,1,0,0,1,0,0,0
196,22.0,4,0.3,0.75,4,10,0,0,1,0,1,0,1,1,0,0,1,0,0,0
197,22.0,4,0.3,0.3,3,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
198,54.0,4,0.3,3.25,5,15,0,0,1,1,1,0,1,1,0,0,0,0,1,0
199,54.0,4,0.3,0.75,15,5,0,0,1,0,1,1,0,1,0,0,1,0,0,0
200,22.0,4,1.25,1.25,15,20,0,0,1,1,0,0,0,1,0,0,0,1,0,0
201,54.0,1,0.3,5.0,5,30,1,0,0,0,1,1,1,1,0,0,0,0,0,1
