,AGE,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,CYCLE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS
13,22.0,1,1.7999999999999998,0.5,0.5,1.0799999999999998,1,0,0,0,1,1,1,0,1,10,0,1
17,22.0,1,1.7999999999999998,0.5,0.5,1.7999999999999998,1,0,0,1,0,1,1,0,0,10,0,1
18,40.0,4,1.0799999999999998,0.5,2.75,39.199999999999996,0,0,1,0,0,0,1,0,1,10,1,1
24,30.0,4,3.5999999999999996,0.75,2.25,7.199999999999999,0,0,1,0,0,0,1,0,1,10,0,1
27,22.0,1,0.35999999999999993,0.5,0.75,19.599999999999998,1,0,0,0,1,1,1,0,1,10,0,1
29,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,10,0,1
30,30.0,1,19.599999999999998,1.75,0.75,1.7999999999999998,1,0,0,0,0,1,1,0,0,10,0,1
31,30.0,4,3.5999999999999996,1.25,5.0,53.4,0,0,1,1,0,1,1,0,1,10,0,1
39,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,0,10,0,1
40,22.0,4,50.025,3.75,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,10,0,1
43,22.0,1,10.0,2.75,0.75,1.7999999999999998,1,0,0,0,0,1,1,0,0,10,0,1
45,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,1,1,1,0,1,10,0,1
49,54.0,1,1.7999999999999998,0.5,2.25,26.7,1,0,0,1,0,0,1,0,0,10,0,1
51,22.0,4,26.7,2.75,0.75,5.0,0,0,1,0,1,0,1,0,1,10,0,1
52,30.0,4,1.7999999999999998,0.75,0.75,3.5999999999999996,0,0,1,1,0,0,1,0,1,10,0,1
55,30.0,4,0.7199999999999999,0.5,0.5,0.7199999999999999,0,0,1,0,0,1,1,0,1,10,0,1
57,30.0,1,13.35,2.25,1.25,3.5999999999999996,1,0,0,1,1,1,1,0,1,10,0,1
60,30.0,1,1.0799999999999998,0.5,0.5,1.7999999999999998,1,0,0,1,1,1,1,0,1,10,0,1
64,22.0,4,1.0799999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,1,1,1,0,1,10,0,1
65,22.0,1,3.5999999999999996,0.75,1.25,26.7,1,0,0,0,1,1,1,0,1,10,0,1
66,22.0,4,2.8799999999999994,0.75,0.5,1.4399999999999997,0,0,1,1,0,0,1,0,0,10,0,1
68,22.0,2,1.7999999999999998,0.5,3.75,66.75,0,1,0,0,0,1,1,0,0,10,0,1
69,30.0,4,0.7199999999999999,0.5,5.0,98.0,0,0,1,1,1,1,1,0,1,10,0,1
71,40.0,4,0.7199999999999999,0.5,1.75,3.5999999999999996,0,0,1,0,0,1,1,0,0,10,0,1
72,22.0,4,33.349999999999994,1.75,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,10,0,1
8,22.0,4,3.5999999999999996,0.75,0.75,3.5999999999999996,0,0,1,1,0,0,1,0,1,5,0,1
44,54.0,1,1.7999999999999998,0.5,3.25,39.199999999999996,1,0,0,0,1,1,1,0,1,5,0,1
46,22.0,2,0.7199999999999999,0.5,2.25,13.35,0,1,0,0,1,0,1,0,1,5,0,1
62,22.0,1,3.5999999999999996,0.75,0.5,1.7999999999999998,1,0,0,0,1,1,1,0,1,5,1,1
69,22.0,1,3.5999999999999996,0.75,1.25,8.0,1,0,0,1,1,1,1,0,1,5,0,1
70,40.0,4,40.05,2.25,0.5,3.5999999999999996,0,0,1,1,0,0,1,0,0,5,0,1
76,22.0,4,20.0,5.0,5.0,98.0,0,0,1,0,0,1,1,0,1,5,0,1
79,22.0,4,3.5999999999999996,0.5,2.75,58.8,0,0,1,0,1,1,1,0,1,5,0,1
80,22.0,1,3.5999999999999996,0.75,0.75,3.5999999999999996,1,0,0,0,0,1,1,0,1,5,0,1
82,22.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,0,1
84,22.0,4,1.7999999999999998,0.5,0.5,0.7199999999999999,0,0,1,0,1,0,1,0,1,5,0,1
88,22.0,4,15.0,3.75,3.25,5.399999999999999,0,0,1,0,0,1,1,0,1,5,0,1
98,22.0,4,2.8799999999999994,0.75,2.25,7.199999999999999,0,0,1,1,0,0,1,0,1,5,0,1
99,22.0,4,3.5999999999999996,0.75,1.75,19.599999999999998,0,0,1,1,0,0,1,0,1,5,0,1
102,30.0,4,2.0,0.5,0.75,1.7999999999999998,0,0,1,1,1,1,1,0,1,5,0,1
105,30.0,4,1.7999999999999998,0.5,0.5,5.0,0,0,1,0,0,0,1,0,1,5,0,1
108,22.0,2,1.7999999999999998,0.75,0.5,1.7999999999999998,0,1,0,0,0,0,1,0,1,5,0,1
110,22.0,4,50.025,4.25,1.75,15.0,0,0,1,0,0,1,1,0,1,5,0,1
111,22.0,1,3.5999999999999996,0.75,0.5,0.7199999999999999,1,0,0,1,1,1,1,0,1,5,0,1
112,40.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,5,0,1
117,30.0,2,0.7199999999999999,0.5,0.5,1.0799999999999998,0,1,0,1,0,0,1,0,0,5,0,1
118,30.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,0,5,0,1
122,30.0,1,39.199999999999996,3.25,2.25,39.199999999999996,1,0,0,1,0,1,1,0,0,5,0,1
123,22.0,2,1.0799999999999998,0.5,0.5,1.7999999999999998,0,1,0,0,1,0,1,0,1,5,0,1
124,22.0,4,2.52,0.75,1.75,6.119999999999999,0,0,1,0,0,0,1,0,1,5,0,1
125,22.0,1,7.199999999999999,1.25,0.75,3.5999999999999996,1,0,0,1,0,1,1,0,1,5,0,1
128,22.0,4,2.52,0.5,0.5,2.52,0,0,1,0,0,0,1,0,0,5,0,1
130,22.0,2,1.7999999999999998,0.5,0.75,3.5999999999999996,0,1,0,1,0,1,1,0,1,5,0,1
131,22.0,4,26.7,2.25,0.5,6.119999999999999,0,0,1,0,1,0,1,0,1,5,0,1
132,30.0,4,26.7,3.75,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,1,5,0,1
133,22.0,1,1.4399999999999997,0.5,0.5,1.4399999999999997,1,0,0,0,0,1,1,0,1,5,0,1
135,40.0,1,5.399999999999999,1.25,0.75,1.7999999999999998,1,0,0,1,0,1,1,0,1,5,0,1
137,22.0,4,6.0,1.75,2.25,5.399999999999999,0,0,1,1,0,1,1,0,0,5,0,1
139,30.0,1,3.5999999999999996,0.75,0.75,31.36,1,0,0,1,0,1,1,0,1,5,0,1
140,30.0,1,1.7999999999999998,0.5,3.75,58.8,1,0,0,1,0,1,1,0,1,5,0,1
142,30.0,1,0.7199999999999999,0.5,2.75,58.8,1,0,0,1,0,1,1,0,1,5,0,1
154,54.0,1,1.7999999999999998,0.5,0.5,1.7999999999999998,1,0,0,0,1,1,1,0,1,5,0,1
161,22.0,4,7.84,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
165,54.0,4,7.0,2.25,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,1,5,0,1
178,22.0,2,1.7999999999999998,0.5,1.25,5.399999999999999,0,1,0,0,1,0,1,0,1,5,0,1
182,22.0,2,1.0799999999999998,0.5,0.75,2.52,0,1,0,0,0,0,1,0,1,5,0,1
184,22.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,1,5,0,1
188,22.0,4,1.7999999999999998,0.5,1.25,5.399999999999999,0,0,1,0,0,0,1,0,1,5,0,1
193,30.0,4,7.199999999999999,1.75,5.0,83.375,0,0,1,0,0,1,1,0,1,5,0,1
198,22.0,2,0.7199999999999999,0.5,0.75,5.0,0,1,0,0,1,0,1,0,1,5,0,1
199,22.0,1,0.7199999999999999,0.5,3.25,7.199999999999999,1,0,0,0,0,0,1,0,1,5,0,1
203,22.0,2,1.7999999999999998,0.5,1.25,3.5999999999999996,0,1,0,0,1,0,1,0,1,5,0,1
207,22.0,4,58.8,3.75,0.5,1.7999999999999998,0,0,1,0,1,1,1,0,1,5,0,1
208,22.0,2,13.35,3.25,0.75,2.52,0,1,0,0,1,0,1,0,1,5,0,1
211,22.0,2,19.599999999999998,2.25,0.75,2.52,0,1,0,0,0,0,1,0,1,5,0,1
212,22.0,4,1.7999999999999998,0.5,3.75,39.199999999999996,0,0,1,0,1,1,1,0,1,5,0,1
215,22.0,1,15.0,5.0,0.75,3.5999999999999996,1,0,0,0,1,1,1,0,1,5,0,1
217,22.0,1,1.7999999999999998,0.5,0.5,1.7999999999999998,1,0,0,0,0,1,1,0,1,5,0,1
219,40.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,1,5,0,1
220,22.0,1,3.5999999999999996,0.75,0.75,3.5999999999999996,1,0,0,0,0,1,1,0,1,5,0,1
222,30.0,4,3.5999999999999996,1.25,0.75,1.7999999999999998,0,0,1,0,0,1,1,0,1,5,0,1
224,22.0,4,0.7199999999999999,0.5,0.5,1.7999999999999998,0,0,1,0,1,1,1,0,1,5,0,1
225,22.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,5,0,1
227,22.0,4,0.7199999999999999,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
231,30.0,1,3.5999999999999996,0.5,5.0,78.39999999999999,1,0,0,1,0,1,1,0,1,5,0,1
232,40.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
251,30.0,4,0.7199999999999999,0.5,0.75,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,0,1
255,22.0,1,1.7999999999999998,0.5,0.5,1.7999999999999998,1,0,0,0,0,1,1,0,0,5,0,1
258,22.0,4,3.5999999999999996,0.75,0.5,0.7199999999999999,0,0,1,0,0,1,1,0,1,5,0,1
260,22.0,1,20.0,2.75,0.75,16.674999999999997,1,0,0,0,1,0,1,0,1,5,0,1
261,22.0,4,10.0,1.75,0.5,2.52,0,0,1,0,0,1,1,0,1,5,0,1
266,22.0,4,7.199999999999999,1.25,1.25,3.5999999999999996,0,0,1,1,0,1,1,0,1,5,0,1
267,22.0,4,3.5999999999999996,0.75,0.75,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,0,1
274,22.0,4,15.0,2.75,0.5,0.7199999999999999,0,0,1,0,0,1,1,0,1,5,0,1
275,30.0,4,1.7999999999999998,0.5,0.5,2.8799999999999994,0,0,1,0,0,0,1,0,0,5,0,1
277,40.0,4,3.5999999999999996,1.25,0.5,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,1,1
281,30.0,1,3.5999999999999996,0.75,2.75,66.69999999999999,1,0,0,0,0,0,1,0,1,5,0,1
282,30.0,4,1.7999999999999998,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
288,22.0,4,15.0,5.0,1.75,26.7,0,0,1,0,0,0,1,0,1,5,0,1
289,22.0,4,5.0,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
291,22.0,1,5.399999999999999,0.75,0.75,3.5999999999999996,1,0,0,1,0,0,1,0,1,5,0,1
293,30.0,4,5.399999999999999,0.75,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,0,5,0,1
294,40.0,4,5.399999999999999,1.25,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
296,22.0,4,10.0,2.25,1.25,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,0,1
297,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,5,0,1
299,30.0,4,1.0799999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,5,0,1
300,22.0,4,7.199999999999999,1.25,5.0,78.39999999999999,0,0,1,1,0,1,1,0,1,5,0,1
310,30.0,4,50.025,2.25,0.5,1.4399999999999997,0,0,1,0,0,0,1,0,1,5,0,1
313,30.0,4,40.05,3.25,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,0,1
319,54.0,4,40.05,3.25,1.25,5.399999999999999,0,0,1,0,0,0,1,0,1,5,0,1
327,30.0,4,20.0,5.0,4.25,26.7,0,0,1,0,0,0,1,0,1,5,0,1
328,30.0,4,3.5999999999999996,0.5,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,1,5,0,1
334,22.0,4,0.35999999999999993,1.75,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,0,5,0,1
336,30.0,4,53.4,5.0,0.75,2.8799999999999994,0,0,1,0,0,1,1,0,0,5,1,1
342,22.0,4,5.399999999999999,0.75,0.75,2.52,0,0,1,0,0,0,1,0,1,5,0,1
344,22.0,4,5.0,1.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,0,1
345,40.0,1,53.4,5.0,4.75,40.05,1,0,0,1,0,1,1,0,1,5,0,1
348,22.0,4,50.025,3.25,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,0,5,0,1
353,22.0,4,3.5999999999999996,0.75,0.5,2.52,0,0,1,0,1,0,1,0,1,5,0,1
354,22.0,2,3.5999999999999996,0.75,0.75,4.319999999999999,0,1,0,0,0,0,1,0,0,5,0,1
356,30.0,4,3.5999999999999996,0.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,0,5,0,1
358,22.0,4,0.7199999999999999,0.5,0.5,3.5999999999999996,0,0,1,1,1,0,1,0,0,5,0,1
363,30.0,4,2.1599999999999997,0.75,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,1,5,0,1
366,22.0,4,5.0,1.75,0.5,2.0,0,0,1,0,0,1,1,0,1,5,0,1
377,40.0,4,2.52,0.75,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,1,5,0,1
390,30.0,4,1.7999999999999998,0.5,0.75,2.52,0,0,1,0,1,0,1,0,1,5,0,1
394,22.0,4,0.7199999999999999,0.5,0.5,2.1599999999999997,0,0,1,0,1,1,1,0,1,5,0,1
403,40.0,4,3.5999999999999996,0.75,2.25,7.199999999999999,0,0,1,0,0,0,1,0,1,5,0,1
405,22.0,4,33.349999999999994,2.25,0.5,0.7199999999999999,0,0,1,0,1,0,1,0,1,5,0,1
408,22.0,4,26.7,4.25,1.25,19.599999999999998,0,0,1,0,1,0,1,0,1,5,0,1
410,22.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,0,5,0,1
448,22.0,4,33.349999999999994,1.75,0.5,1.0799999999999998,0,0,1,1,1,1,1,0,1,5,0,1
455,40.0,4,2.52,0.5,4.25,58.8,0,0,1,0,1,0,1,0,1,5,0,1
456,40.0,4,1.0799999999999998,0.5,2.75,8.999999999999998,0,0,1,1,0,0,1,0,0,5,0,1
458,30.0,4,1.0799999999999998,0.5,5.0,53.4,0,0,1,1,0,1,1,0,1,5,0,1
467,22.0,4,0.7199999999999999,0.5,0.5,1.7999999999999998,0,0,1,0,1,1,1,0,1,5,0,1
468,22.0,2,2.52,0.5,1.25,5.399999999999999,0,1,0,0,0,0,1,0,1,5,0,1
471,22.0,4,0.7199999999999999,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,5,0,1
473,30.0,2,19.599999999999998,1.75,1.25,5.399999999999999,0,1,0,1,1,0,1,0,1,5,0,1
478,22.0,4,3.5999999999999996,0.75,5.0,25.0,0,0,1,0,0,0,1,0,1,5,0,1
482,22.0,4,5.399999999999999,2.25,1.75,5.399999999999999,0,0,1,0,0,1,1,0,1,5,0,1
486,22.0,1,58.8,3.25,2.25,39.199999999999996,1,0,0,0,1,1,1,0,1,5,0,1
488,22.0,4,5.399999999999999,0.75,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,5,0,1
489,22.0,4,2.1599999999999997,0.5,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,0,1
500,65.0,4,1.7999999999999998,0.5,0.5,7.84,0,0,1,1,0,1,1,0,1,5,0,1
504,40.0,4,26.7,1.75,0.75,3.5999999999999996,0,0,1,0,1,0,1,0,1,5,0,1
505,22.0,4,0.7199999999999999,0.5,5.0,78.39999999999999,0,0,1,1,0,1,1,0,1,5,0,1
506,30.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
507,22.0,1,3.5999999999999996,0.5,0.75,5.399999999999999,1,0,0,1,0,0,1,0,0,5,0,1
511,40.0,4,2.1599999999999997,0.5,5.0,98.0,0,0,1,1,1,0,1,0,1,5,0,1
512,30.0,4,2.8799999999999994,0.75,0.75,2.8799999999999994,0,0,1,1,0,1,1,0,0,5,0,1
513,30.0,2,1.0799999999999998,0.5,2.75,39.199999999999996,0,1,0,1,1,1,1,0,1,5,0,1
514,22.0,4,5.399999999999999,1.25,1.75,8.999999999999998,0,0,1,0,1,1,1,0,1,5,0,1
516,30.0,4,0.7199999999999999,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,5,0,1
517,30.0,4,2.1599999999999997,0.5,2.25,39.199999999999996,0,0,1,0,0,1,1,0,1,5,0,1
520,54.0,4,5.399999999999999,0.5,5.0,20.0,0,0,1,1,0,1,1,0,1,5,0,1
522,22.0,1,1.7999999999999998,0.5,0.5,3.5999999999999996,1,0,0,0,1,1,1,0,1,5,0,1
523,22.0,2,5.0,0.5,0.5,1.7999999999999998,0,1,0,0,0,1,1,0,1,5,0,1
524,30.0,4,5.399999999999999,1.25,0.75,1.7999999999999998,0,0,1,1,0,1,1,0,0,5,0,1
568,22.0,4,1.7999999999999998,0.5,2.75,10.0,0,0,1,0,0,1,1,0,1,5,0,1
577,30.0,4,1.7999999999999998,0.5,1.75,5.399999999999999,0,0,1,1,0,1,1,0,0,5,0,1
586,22.0,4,5.399999999999999,1.25,0.5,0.7199999999999999,0,0,1,1,0,1,1,0,1,5,0,1
588,22.0,4,0.7199999999999999,0.5,0.5,2.1599999999999997,0,0,1,0,1,0,1,0,1,5,0,1
597,22.0,4,3.5999999999999996,0.75,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,0,5,0,1
598,30.0,4,1.7999999999999998,0.5,5.0,66.69999999999999,0,0,1,0,0,1,1,0,0,5,0,1
602,22.0,4,3.5999999999999996,0.5,0.75,5.399999999999999,0,0,1,0,0,0,1,0,1,5,0,1
608,30.0,4,15.0,2.25,5.0,78.39999999999999,0,0,1,1,0,1,1,0,1,5,0,1
610,22.0,2,1.7999999999999998,0.5,0.5,0.7199999999999999,0,1,0,0,0,1,1,0,1,5,0,1
618,40.0,4,5.399999999999999,0.75,5.0,7.199999999999999,0,0,1,0,0,0,1,0,1,5,0,1
619,22.0,4,1.7999999999999998,0.5,1.25,5.399999999999999,0,0,1,0,0,1,1,0,0,5,0,1
621,54.0,4,3.5999999999999996,0.5,0.75,3.5999999999999996,0,0,1,0,1,0,1,0,1,5,0,1
622,30.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
625,22.0,1,1.7999999999999998,0.5,0.75,3.5999999999999996,1,0,0,0,0,1,1,0,1,5,0,1
626,22.0,4,1.4399999999999997,0.5,0.75,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,0,1
627,22.0,4,1.0799999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,0,1
628,54.0,4,1.7999999999999998,0.5,3.25,58.8,0,0,1,0,1,1,1,0,1,5,0,1
633,54.0,4,5.399999999999999,0.5,0.75,5.0,0,0,1,1,0,0,1,0,1,5,0,1
636,22.0,4,5.399999999999999,1.25,1.25,7.199999999999999,0,0,1,0,1,0,1,0,0,5,0,1
640,22.0,4,5.399999999999999,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,0,5,0,1
645,22.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,0,0,1,1,0,0,5,0,1
646,22.0,2,2.52,0.75,0.75,3.5999999999999996,0,1,0,0,0,0,1,0,1,5,0,1
648,22.0,2,26.7,1.25,0.5,2.1599999999999997,0,1,0,0,1,0,1,0,1,5,0,1
